date,id_cd,cd_name,id_borough,borough,polluting_agent,data_value
2010-12-01,209,Parkchester and Soundview (CD9),4,the_bronx,SO2 (ppb),4.93
2010-12-01,210,Throgs Neck and Co-op City (CD10),4,the_bronx,SO2 (ppb),3.62
2010-12-01,211,Morris Park and Bronxdale (CD11),4,the_bronx,SO2 (ppb),4.79
2010-12-01,212,Williamsbridge and Baychester (CD12),4,the_bronx,SO2 (ppb),4.53
2010-12-01,301,Greenpoint and Williamsburg (CD1),2,brooklyn,SO2 (ppb),3.72
2010-12-01,302,Fort Greene and Brooklyn Heights (CD2),2,brooklyn,SO2 (ppb),3.67
2010-12-01,303,Bedford Stuyvesant (CD3),2,brooklyn,SO2 (ppb),4.02
2010-12-01,304,Bushwick (CD4),2,brooklyn,SO2 (ppb),4.09
2010-12-01,305,East New York and Starrett City (CD5),2,brooklyn,SO2 (ppb),3.26
2010-12-01,306,Park Slope and Carroll Gardens (CD6),2,brooklyn,SO2 (ppb),3.23
2010-12-01,307,Sunset Park (CD7),2,brooklyn,SO2 (ppb),3.07
2010-12-01,308,Crown Heights and Prospect Heights (CD8),2,brooklyn,SO2 (ppb),4.02
2010-12-01,309,South Crown Heights and Lefferts Gardens (CD9),2,brooklyn,SO2 (ppb),4.15
2010-12-01,310,Bay Ridge and Dyker Heights (CD10),2,brooklyn,SO2 (ppb),2.78
2010-12-01,311,Bensonhurst (CD11),2,brooklyn,SO2 (ppb),2.94
2010-12-01,312,Borough Park (CD12),2,brooklyn,SO2 (ppb),3.57
2010-12-01,313,Coney Island (CD13),2,brooklyn,SO2 (ppb),2.37
2010-12-01,314,Flatbush and Midwood (CD14),2,brooklyn,SO2 (ppb),3.84
2010-12-01,315,Sheepshead Bay (CD15),2,brooklyn,SO2 (ppb),2.66
2010-12-01,316,Brownsville (CD16),2,brooklyn,SO2 (ppb),3.67
2010-12-01,317,East Flatbush (CD17),2,brooklyn,SO2 (ppb),3.64
2010-12-01,318,Flatlands and Canarsie (CD18),2,brooklyn,SO2 (ppb),2.67
2010-12-01,401,Long Island City and Astoria (CD1),3,queens,SO2 (ppb),4.46
2010-12-01,402,Woodside and Sunnyside (CD2),3,queens,SO2 (ppb),4.25
2010-12-01,403,Jackson Heights (CD3),3,queens,SO2 (ppb),5.43
