,date,id_cd,cd_name,id_borough,borough,pm 2.5,air_quality
142,2010-12-01,301,Greenpoint and Williamsburg (CD1),2,brooklyn,14.16,aceptable
143,2010-12-01,302,Fort Greene and Brooklyn Heights (CD2),2,brooklyn,13.78,aceptable
144,2010-12-01,303,Bedford Stuyvesant (CD3),2,brooklyn,12.91,aceptable
145,2010-12-01,304,Bushwick (CD4),2,brooklyn,12.75,aceptable
146,2010-12-01,305,East New York and Starrett City (CD5),2,brooklyn,12.34,aceptable
147,2010-12-01,306,Park Slope and Carroll Gardens (CD6),2,brooklyn,13.89,aceptable
148,2010-12-01,307,Sunset Park (CD7),2,brooklyn,13.6,aceptable
149,2010-12-01,308,Crown Heights and Prospect Heights (CD8),2,brooklyn,12.91,aceptable
150,2010-12-01,309,South Crown Heights and Lefferts Gardens (CD9),2,brooklyn,12.77,aceptable
151,2010-12-01,310,Bay Ridge and Dyker Heights (CD10),2,brooklyn,12.46,aceptable
152,2010-12-01,311,Bensonhurst (CD11),2,brooklyn,12.03,aceptable
153,2010-12-01,312,Borough Park (CD12),2,brooklyn,12.59,aceptable
154,2010-12-01,313,Coney Island (CD13),2,brooklyn,11.46,bueno
155,2010-12-01,314,Flatbush and Midwood (CD14),2,brooklyn,12.51,aceptable
156,2010-12-01,315,Sheepshead Bay (CD15),2,brooklyn,11.6,bueno
157,2010-12-01,316,Brownsville (CD16),2,brooklyn,12.7,aceptable
158,2010-12-01,317,East Flatbush (CD17),2,brooklyn,12.68,aceptable
159,2010-12-01,318,Flatlands and Canarsie (CD18),2,brooklyn,11.79,bueno
160,2010-12-01,401,Long Island City and Astoria (CD1),3,queens,13.06,aceptable
161,2010-12-01,402,Woodside and Sunnyside (CD2),3,queens,13.98,aceptable
162,2010-12-01,403,Jackson Heights (CD3),3,queens,12.43,aceptable
163,2010-12-01,404,Elmhurst and Corona (CD4),3,queens,12.67,aceptable
164,2010-12-01,405,Ridgewood and Maspeth (CD5),3,queens,12.61,aceptable
165,2010-12-01,406,Rego Park and Forest Hills (CD6),3,queens,12.41,aceptable
166,2010-12-01,407,Flushing and Whitestone (CD7),3,queens,12.59,aceptable
167,2010-12-01,408,Hillcrest and Fresh Meadows (CD8),3,queens,12.08,aceptable
168,2010-12-01,409,Kew Gardens and Woodhaven (CD9),3,queens,12.01,aceptable
169,2010-12-01,410,South Ozone Park and Howard Beach (CD10),3,queens,11.47,bueno
170,2010-12-01,411,Bayside and Little Neck (CD11),3,queens,12.11,aceptable
171,2010-12-01,412,Jamaica and Hollis (CD12),3,queens,11.82,bueno
172,2010-12-01,413,Queens Village (CD13),3,queens,11.43,bueno
173,2010-12-01,414,Rockaway and Broad Channel (CD14),3,queens,10.28,bueno
174,2010-12-01,501,St. George and Stapleton (CD1),5,staten_island,11.97,bueno
175,2010-12-01,502,South Beach and Willowbrook (CD2),5,staten_island,11.65,bueno
176,2010-12-01,503,Tottenville and Great Kills (CD3),5,staten_island,11.52,bueno
177,2011-12-01,101,Financial District (CD1),1,manhattan,11.61,bueno
178,2011-12-01,102,Greenwich Village and Soho (CD2),1,manhattan,11.18,bueno
179,2011-12-01,103,Lower East Side and Chinatown (CD3),1,manhattan,10.32,bueno
180,2011-12-01,104,Clinton and Chelsea (CD4),1,manhattan,11.47,bueno
181,2011-12-01,105,Midtown (CD5),1,manhattan,14.15,aceptable
182,2011-12-01,106,Stuyvesant Town and Turtle Bay (CD6),1,manhattan,12.24,aceptable
183,2011-12-01,107,Upper West Side (CD7),1,manhattan,10.8,bueno
184,2011-12-01,108,Upper East Side (CD8),1,manhattan,11.31,bueno
185,2011-12-01,109,Morningside Heights and Hamilton Heights (CD9),1,manhattan,10.97,bueno
186,2011-12-01,110,Central Harlem (CD10),1,manhattan,10.81,bueno
187,2011-12-01,111,East Harlem (CD11),1,manhattan,10.56,bueno
188,2011-12-01,112,Washington Heights and Inwood (CD12),1,manhattan,10.96,bueno
189,2011-12-01,201,Mott Haven and Melrose (CD1),4,the_bronx,11.17,bueno
190,2011-12-01,202,Hunts Point and Longwood (CD2),4,the_bronx,10.92,bueno
191,2011-12-01,203,Morrisania and Crotona (CD3),4,the_bronx,10.72,bueno
192,2011-12-01,204,Highbridge and Concourse (CD4),4,the_bronx,11.42,bueno
193,2011-12-01,205,Fordham and University Heights (CD5),4,the_bronx,11.43,bueno
194,2011-12-01,206,Belmont and East Tremont (CD6),4,the_bronx,10.62,bueno
195,2011-12-01,207,Kingsbridge Heights and Bedford (CD7),4,the_bronx,10.39,bueno
196,2011-12-01,208,Riverdale and Fieldston (CD8),4,the_bronx,9.88,bueno
197,2011-12-01,209,Parkchester and Soundview (CD9),4,the_bronx,9.9,bueno
198,2011-12-01,210,Throgs Neck and Co-op City (CD10),4,the_bronx,9.12,bueno
199,2011-12-01,211,Morris Park and Bronxdale (CD11),4,the_bronx,9.3,bueno
200,2011-12-01,212,Williamsbridge and Baychester (CD12),4,the_bronx,8.91,bueno
201,2011-12-01,301,Greenpoint and Williamsburg (CD1),2,brooklyn,10.5,bueno
202,2011-12-01,302,Fort Greene and Brooklyn Heights (CD2),2,brooklyn,10.38,bueno
203,2011-12-01,303,Bedford Stuyvesant (CD3),2,brooklyn,9.54,bueno
204,2011-12-01,304,Bushwick (CD4),2,brooklyn,9.34,bueno
205,2011-12-01,305,East New York and Starrett City (CD5),2,brooklyn,8.99,bueno
206,2011-12-01,306,Park Slope and Carroll Gardens (CD6),2,brooklyn,10.47,bueno
207,2011-12-01,307,Sunset Park (CD7),2,brooklyn,10.2,bueno
208,2011-12-01,308,Crown Heights and Prospect Heights (CD8),2,brooklyn,9.62,bueno
209,2011-12-01,309,South Crown Heights and Lefferts Gardens (CD9),2,brooklyn,9.5,bueno
210,2011-12-01,310,Bay Ridge and Dyker Heights (CD10),2,brooklyn,9.0,bueno
211,2011-12-01,311,Bensonhurst (CD11),2,brooklyn,8.55,bueno
212,2011-12-01,312,Borough Park (CD12),2,brooklyn,9.23,bueno
213,2011-12-01,313,Coney Island (CD13),2,brooklyn,7.86,bueno
214,2011-12-01,314,Flatbush and Midwood (CD14),2,brooklyn,9.17,bueno
215,2011-12-01,315,Sheepshead Bay (CD15),2,brooklyn,8.04,bueno
216,2011-12-01,316,Brownsville (CD16),2,brooklyn,9.37,bueno
217,2011-12-01,317,East Flatbush (CD17),2,brooklyn,9.33,bueno
218,2011-12-01,318,Flatlands and Canarsie (CD18),2,brooklyn,8.28,bueno
219,2011-12-01,401,Long Island City and Astoria (CD1),3,queens,9.39,bueno
220,2011-12-01,402,Woodside and Sunnyside (CD2),3,queens,10.28,bueno
221,2011-12-01,403,Jackson Heights (CD3),3,queens,8.99,bueno
222,2011-12-01,404,Elmhurst and Corona (CD4),3,queens,9.35,bueno
223,2011-12-01,405,Ridgewood and Maspeth (CD5),3,queens,9.17,bueno
224,2011-12-01,406,Rego Park and Forest Hills (CD6),3,queens,9.23,bueno
225,2011-12-01,407,Flushing and Whitestone (CD7),3,queens,9.26,bueno
226,2011-12-01,408,Hillcrest and Fresh Meadows (CD8),3,queens,9.01,bueno
227,2011-12-01,409,Kew Gardens and Woodhaven (CD9),3,queens,8.82,bueno
