license_class,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared,date,month_year1,trips_per_month,month_date,farebox_per_month,week,trips_per_week,year,farebox_per_week,total_trips_per_day,shared_trips_per_day_percent,farebox_per_trip,farebox_per_vehicle,trips_per_month_on_road,farebox_per_month_on_road,daily_farebox_per_trip,daily_farebox_per_vehicle,drivers_vehicles_ratio,monthly_farebox_per_vehicle_on_road,monthly_farebox_per_trip_on_road,monthly_trips_per_vehicle_on_road
FHV - Black Car,13084,0,7559,7486,3515,14.6,3.2,14.5,3.1,36.0,0.0,0,2017-07,2017-07,405604,2017-07-28,0,30,91588,2017,0,13084,0.0,0.0,0.0,191026.4,0.0,0.0,0.0,1.0097515362009084,0.0,0.0,25.517819930537
FHV - Black Car,13985,0,7463,7406,3686,15.4,3.2,15.4,3.2,35.0,0.0,0,2017-08,2017-08,433535,2017-08-28,0,35,97895,2017,0,13985,0.0,0.0,0.0,215369.0,0.0,0.0,0.0,1.0076964623278424,0.0,0.0,29.080340264650285
FHV - Black Car,15975,0,7777,7693,3906,15.2,3.4,15.2,3.4,36.0,0.0,0,2017-09,2017-09,479250,2017-09-28,0,39,111825,2017,0,15975,0.0,0.0,0.0,242820.0,0.0,0.0,0.0,1.0109190172884441,0.0,0.0,31.56375926166645
FHV - Black Car,16405,0,8008,7882,4221,16.6,3.3,16.5,3.3,38.0,0.0,0,2017-10,2017-10,508555,2017-10-28,0,43,114835,2017,0,16405,0.0,0.0,0.0,272323.0,0.0,0.0,0.0,1.0159857904085257,0.0,0.0,34.54998731286476
FHV - Black Car,15718,0,7376,7331,3859,15.8,3.4,15.8,3.4,37.0,0.0,0,2017-11,2017-11,471540,2017-11-28,0,48,110026,2017,0,15718,0.0,0.0,0.0,248344.40000000002,0.0,0.0,0.0,1.0061383167371436,0.0,0.0,33.87592415768654
FHV - Black Car,15541,0,7789,7703,3720,15.0,3.4,14.9,3.4,35.0,0.0,0,2017-12,2017-12,481771,2017-12-28,0,52,108787,2017,0,15541,0.0,0.0,0.0,233115.0,0.0,0.0,0.0,1.0111644813708944,0.0,0.0,30.26288459041932
FHV - Black Car,15445,0,7464,7410,3778,15.8,3.4,15.7,3.4,35.0,0.0,0,2018-01,2018-01,478795,2018-01-28,0,04,108115,2018,0,15445,0.0,0.0,0.0,244031.0,0.0,0.0,0.0,1.0072874493927126,0.0,0.0,32.932658569500674
FHV - Black Car,17415,0,7550,7529,4063,15.1,3.5,15.1,3.5,33.0,0.0,0,2018-02,2018-02,487620,2018-02-28,0,09,121905,2018,0,17415,0.0,0.0,0.0,262966.5,0.0,0.0,0.0,1.0027892150351971,0.0,0.0,34.92714835967592
FHV - Black Car,16422,0,7535,7471,3988,16.5,3.4,16.5,3.4,35.0,0.0,0,2018-03,2018-03,509082,2018-03-28,0,13,114954,2018,0,16422,0.0,0.0,0.0,270963.0,0.0,0.0,0.0,1.0085664569669388,0.0,0.0,36.2686387364476
FHV - Black Car,16088,0,7221,7176,3832,16.0,3.5,16.0,3.4,34.0,0.0,0,2018-04,2018-04,482640,2018-04-28,0,17,112616,2018,0,16088,0.0,0.0,0.0,257408.0,0.0,0.0,0.0,1.0062709030100334,0.0,0.0,35.87068004459309
FHV - Black Car,16826,0,7268,7224,3906,16.8,3.5,16.7,3.5,35.0,0.0,0,2018-05,2018-05,521606,2018-05-28,0,22,117782,2018,0,16826,0.0,0.0,0.0,282676.8,0.0,0.0,0.0,1.0060908084163898,0.0,0.0,39.13023255813953
FHV - Black Car,17207,0,7155,7119,3809,16.1,3.5,16.0,3.5,34.0,0.0,0,2018-06,2018-06,516210,2018-06-28,0,26,120449,2018,0,17207,0.0,0.0,0.0,277032.7,0.0,0.0,0.0,1.0050568900126422,0.0,0.0,38.91455260570305
FHV - Black Car,13614,0,6242,6188,3086,15.5,3.4,15.4,3.4,32.0,0.0,13,2018-07,2018-07,422034,2018-07-28,0,30,95298,2018,0,13627,0.0,0.0,0.0,211017.0,0.0,0.0,0.0,1.008726567550097,0.0,0.0,34.101001939237236
FHV - Black Car,14455,0,6634,6609,3448,16.2,3.4,16.2,3.4,32.0,0.0,16,2018-08,2018-08,448105,2018-08-28,0,35,101185,2018,0,14471,0.0,0.0,0.0,234171.0,0.0,0.0,0.0,1.003782720532607,0.0,0.0,35.43213799364503
FHV - Black Car,15159,0,6183,6140,3232,15.8,3.7,15.7,3.7,32.0,0.0,291,2018-09,2018-09,454770,2018-09-28,0,39,106113,2018,0,15450,0.02,0.0,0.0,239512.2,0.0,0.0,0.0,1.0070032573289902,0.0,0.0,39.0085016286645
FHV - Black Car,18364,0,7582,7476,3933,16.3,3.6,16.3,3.6,34.0,0.0,158,2018-10,2018-10,569284,2018-10-28,0,43,128548,2018,0,18522,0.01,0.0,0.0,299333.2,0.0,0.0,0.0,1.0141787051899411,0.0,0.0,40.039218833600856
FHV - Black Car,17791,0,7362,7340,3891,15.9,3.6,15.9,3.6,30.0,0.0,17734,2018-11,2018-11,533730,2018-11-28,0,48,124537,2018,0,35525,0.5,0.0,0.0,282876.9,0.0,0.0,0.0,1.0029972752043597,0.0,0.0,38.539087193460496
FHV - Black Car,16120,0,7321,7286,3463,14.7,3.6,14.8,3.6,30.0,0.0,128,2018-12,2018-12,499720,2018-12-28,0,52,112840,2018,0,16248,0.01,0.0,0.0,236964.0,0.0,0.0,0.0,1.004803733186934,0.0,0.0,32.52319516881691
FHV - Black Car,15024,0,6111,6072,3156,16.1,3.7,16.1,3.7,27.0,0.0,104,2019-01,2019-01,465744,2019-01-28,0,04,105168,2019,0,15128,0.01,0.0,0.0,241886.40000000002,0.0,0.0,0.0,1.0064229249011858,0.0,0.0,39.83636363636364
FHV - Black Car,13692,0,5129,5103,2811,15.4,3.8,15.4,3.8,28.0,0.0,0,2019-02,2019-02,383376,2019-02-28,0,08,95844,2019,0,13692,0.0,0.0,0.0,210856.80000000002,0.0,0.0,0.0,1.0050950421320792,0.0,0.0,41.3201646090535
FHV - Black Car,8778,0,4513,4498,1916,13.2,3.5,13.3,3.5,23.0,0.0,0,2019-03,2019-03,272118,2019-03-28,0,12,61446,2019,0,8778,0.0,0.0,0.0,115869.59999999999,0.0,0.0,0.0,1.0033348154735438,0.0,0.0,25.760248999555355
FHV - Black Car,15660,0,5824,5795,3126,16.2,3.9,16.2,3.8,27.0,0.0,0,2019-04,2019-04,469800,2019-04-28,0,16,109620,2019,0,15660,0.0,0.0,0.0,253692.0,0.0,0.0,0.0,1.005004314063848,0.0,0.0,43.77773943054357
FHV - Black Car,16186,0,6211,6171,3237,16.3,3.9,16.2,3.8,27.0,0.0,0,2019-05,2019-05,501766,2019-05-28,0,21,113302,2019,0,16186,0.0,0.0,0.0,263831.8,0.0,0.0,0.0,1.0064819316156215,0.0,0.0,42.75349214065791
FHV - Black Car,14233,0,5876,5858,2988,15.3,3.7,15.3,3.7,29.0,0.0,0,2019-06,2019-06,426990,2019-06-28,0,25,99631,2019,0,14233,0.0,0.0,0.0,217764.90000000002,0.0,0.0,0.0,1.00307272106521,0.0,0.0,37.17393308296347
FHV - Black Car,13993,0,5995,5968,2914,15.1,3.7,15.1,3.7,29.0,0.0,0,2019-07,2019-07,433783,2019-07-28,0,29,97951,2019,0,13993,0.0,0.0,0.0,211294.3,0.0,0.0,0.0,1.0045241286863271,0.0,0.0,35.4045408847185
FHV - Black Car,12787,0,5874,5845,2964,15.7,3.4,15.7,3.4,32.0,0.0,0,2019-08,2019-08,396397,2019-08-28,0,34,89509,2019,0,12787,0.0,0.0,0.0,200755.9,0.0,0.0,0.0,1.004961505560308,0.0,0.0,34.346603934987165
FHV - Black Car,12373,0,5499,5417,2846,15.8,3.5,15.6,3.5,32.0,0.0,0,2019-09,2019-09,371190,2019-09-28,0,38,86611,2019,0,12373,0.0,0.0,0.0,195493.40000000002,0.0,0.0,0.0,1.015137529998154,0.0,0.0,36.08886837733063
FHV - Black Car,16245,0,7120,7071,3757,16.5,3.6,16.4,3.6,29.0,0.0,0,2019-10,2019-10,503595,2019-10-28,0,43,113715,2019,0,16245,0.0,0.0,0.0,268042.5,0.0,0.0,0.0,1.0069297129118937,0.0,0.0,37.907297411964365
FHV - Black Car,16612,0,7237,7219,3645,15.2,3.7,15.2,3.7,28.0,0.0,0,2019-11,2019-11,498360,2019-11-28,0,47,116284,2019,0,16612,0.0,0.0,0.0,252502.4,0.0,0.0,0.0,1.0024934201412938,0.0,0.0,34.97747610472364
