month_date,license_class,unique_vehicles,vehicles_per_day
2014-08-28,Yellow,13622,12919
2014-09-28,FHV - Black Car,0,0
2014-09-28,FHV - High Volume,0,0
2014-09-28,FHV - Livery,0,0
2014-09-28,FHV - Lux Limo,0,0
2014-09-28,Green,5202,4153
2014-09-28,Yellow,13647,13087
2014-10-28,FHV - Black Car,0,0
2014-10-28,FHV - High Volume,0,0
2014-10-28,FHV - Livery,0,0
2014-10-28,FHV - Lux Limo,0,0
2014-10-28,Green,5347,4280
2014-10-28,Yellow,13665,13162
2014-11-28,FHV - Black Car,0,0
2014-11-28,FHV - High Volume,0,0
2014-11-28,FHV - Livery,0,0
2014-11-28,FHV - Lux Limo,0,0
2014-11-28,Green,5558,4499
2014-11-28,Yellow,13642,13095
2014-12-28,FHV - Black Car,0,0
2014-12-28,FHV - High Volume,0,0
2014-12-28,FHV - Livery,0,0
2014-12-28,FHV - Lux Limo,0,0
2014-12-28,Green,5812,4651
2014-12-28,Yellow,13642,13041
2015-01-28,FHV - Black Car,2725,1469
2015-01-28,FHV - High Volume,12544,7265
2015-01-28,FHV - Livery,4181,2848
2015-01-28,FHV - Lux Limo,856,462
2015-01-28,Green,5897,4498
2015-01-28,Yellow,13633,12721
2015-02-28,FHV - Black Car,2620,1618
2015-02-28,FHV - High Volume,13531,8402
2015-02-28,FHV - Livery,3971,2901
2015-02-28,FHV - Lux Limo,1034,620
2015-02-28,Green,5984,4723
2015-02-28,Yellow,13617,12979
2015-03-28,FHV - Black Car,2882,1296
2015-03-28,FHV - High Volume,14290,8579
2015-03-28,FHV - Livery,4087,3052
2015-03-28,FHV - Lux Limo,990,553
2015-03-28,Green,6221,4835
2015-03-28,Yellow,13584,13030
2015-04-28,FHV - Black Car,5225,2653
2015-04-28,FHV - High Volume,16006,9711
2015-04-28,FHV - Livery,6416,4530
2015-04-28,FHV - Lux Limo,1990,1059
2015-04-28,Green,6378,5032
2015-04-28,Yellow,13577,13098
2015-05-28,FHV - Black Car,4550,2055
2015-05-28,FHV - High Volume,14122,8120
2015-05-28,FHV - Livery,5779,3836
2015-05-28,FHV - Lux Limo,2735,1388
2015-05-28,Green,6508,5177
2015-05-28,Yellow,13580,13006
2015-06-28,FHV - Black Car,4956,2543
2015-06-28,FHV - High Volume,19840,12089
2015-06-28,FHV - Livery,4281,3008
2015-06-28,FHV - Lux Limo,2501,1368
2015-06-28,Green,6539,5196
2015-06-28,Yellow,13549,12990
2015-07-28,FHV - Black Car,4248,2117
2015-07-28,FHV - High Volume,22646,13358
2015-07-28,FHV - Livery,3815,2365
2015-07-28,FHV - Lux Limo,2354,1146
2015-07-28,Green,6473,4981
2015-07-28,Yellow,13490,12599
2015-08-28,FHV - Black Car,5073,2384
2015-08-28,FHV - High Volume,24452,14485
2015-08-28,FHV - Livery,6327,4379
2015-08-28,FHV - Lux Limo,2462,1188
2015-08-28,Green,6404,4911
2015-08-28,Yellow,13442,12579
